;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
35;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;56966397;2000
36;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;59822450;2010
37;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;60232906;2015
38;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;59500579;2020
39;25;ITA;Italy;Rome;Europe;301336;195.9191;0.9966;0.74;0.11583037337983944;0.05636193779480608;0.00758180236771927;0.003697123227744542;0.053819254182426175;-0.005380438280277722;-0.007783201571870418;59037474;2022
40;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;33792617;1970
41;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;37491666;1980
42;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;38889889;1990
43;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;40741651;2000
44;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;46572772;2010
45;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;46431342;2015
46;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;47363807;2020
47;30;ESP;Spain;Madrid;Europe;505992;93.9909;1.0015;0.6;0.40160221979848437;0.10946322979365582;0.037294234937439164;0.04761551260791719;0.18857564216040237;0.016984924152678736;0.0041133306703998685;47558630;2022
48;37;POL;Poland;Warsaw;Europe;312679;127.4698;1.0404;0.5;0.18303215321345728;0.09354097010237035;0.07158568986624947;0.011564025093884012;0.013845107852652075;-0.00437820179015903;0.03718032143235026;32482943;1970
