;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
79;191;GUM;Guam;Hagåtña;Oceania;549;312.8852;1.0073;0.0;1.916545866364666;171774;2022
80;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;57437;1970
81;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;60813;1980
82;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;75124;1990
83;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;88826;2000
84;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;107995;2010
85;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;116707;2015
86;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;126463;2020
87;192;KIR;Kiribati;Tarawa;Oceania;811;161.815;1.0183;0.0;2.2017688946149696;131232;2022
88;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;58989;1970
89;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;76299;1980
90;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;98603;1990
91;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;111709;2000
92;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;107588;2010
93;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;109462;2015
94;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;112106;2020
95;194;FSM;Micronesia;Palikir;Oceania;702;162.6268;1.0091;0.0;1.90045601722355;114164;2022
96;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;86484;1970
97;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;96708;1980
98;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;98727;1990
99;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;102603;2000
100;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;107383;2010
101;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;106122;2015
102;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;105254;2020
103;197;TON;Tonga;Nuku‘alofa;Oceania;747;143.0495;1.0079;0.0;1.2170343647379862;106858;2022
104;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;10143;1970
105;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;17613;1980
106;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;48002;1990
107;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;80338;2000
108;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;54087;2010
109;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;51514;2015
110;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;49587;2020
111;210;NFK;Northern Mariana Islands;Saipan;Oceania;464;106.7909;1.0014;0.0;4.888790298728187;49551;2022
112;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;27075;1970
113;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;32886;1980
114;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;47818;1990
115;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;58230;2000
116;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;54849;2010
117;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;51368;2015
118;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;46189;2020
119;213;ASM;American Samoa;Pago Pago;Oceania;199;222.4774;0.9831;0.0;1.7059649122807017;44273;2022
120;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;23969;1970
121;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;31988;1980
122;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;46047;1990
123;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;54224;2000
124;215;MHL;Marshall Islands;Majuro;Oceania;181;229.663;0.9886;0.0;1.8112144853769452;53416;2010
