;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
21;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;97723799;2015
22;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;107465134;2020
23;14;EGY;Egypt;Cairo;Africa;1002450;110.7188;1.0158;1.39;2.0896779154588816;0.2577935026481812;0.307806136504254;0.24743218648796644;0.42086599401320174;0.23165801729747004;0.032801047826358266;110990103;2022
24;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;20151733;1970
25;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;26708686;1980
26;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;35987541;1990
27;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;48616317;2000
28;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;66391257;2010
29;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;78656904;2015
30;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;92853164;2020
31;15;COD;DR Congo;Kinshasa;Africa;2344858;42.2244;1.0325;1.24;3.607701183813819;0.3253791125557291;0.3474096404443109;0.3509207811670155;0.6253808983514733;0.3985751768489637;0.06630951208081612;99010212;2022
32;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;13618192;1970
33;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;19297659;1980
34;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;26206012;1990
35;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;34463704;2000
36;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;45110527;2010
37;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;52542823;2015
38;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;61704518;2020
39;22;TZA;Tanzania;Dodoma;Africa;945087;69.3034;1.03;0.82;3.5310359848062065;0.4170500019385833;0.3579891737127286;0.31510677778824187;0.5485340461373508;0.3678518541802892;0.06147410470008047;65497748;2022
40;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;22368306;1970
41;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;29463549;1980
42;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;39877570;1990
43;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;46813266;2000
44;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;51784921;2010
45;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;55876504;2015
46;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;58801927;2020
47;24;ZAF;South Africa;Pretoria;Africa;1221037;49.0517;1.0084;0.75;1.6288055519269093;0.31720073035481544;0.3534543988573814;0.17392474014840925;0.25435847607812706;0.13550288123448137;0.018570105704188912;59893885;2022
48;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;11473087;1970
49;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;16187124;1980
50;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;23162269;1990
51;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;30851606;2000
52;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;41517895;2010
53;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;46851488;2015
54;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;51985780;2020
55;27;KEN;Kenya;Nairobi;Africa;580367;93.0919;1.0193;0.68;3.5311065801209387;0.410877822158936;0.43090699743821076;0.331976845619054;0.5949650076563275;0.2521294733271039;0.039274336174238415;54027487;2022
56;31;UGA;Uganda;Kampala;Africa;241550;195.61;1.0304;0.59;3.3039351134783312;0.28755966243593717;0.3238930727777859;0.3658499098462866;0.6142660223389854;0.37298201877153875;0.06406933730373181;10317212;1970
