;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;value;Year
694;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;10368969;2020
695;87;SWE;Sweden;Stockholm;Europe;450295;23.4276;1.0079;0.13;1.2916484692630594;10549347;2022
696;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;9795744;1970
697;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;10270060;1980
698;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;10301192;1990
699;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;10234710;2000
700;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;10464749;2010
701;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;10523798;2015
702;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;10530953;2020
703;88;CZE;Czech Republic;Prague;Europe;78865;133.0627;0.9984;0.13;1.0750539213764672;10493986;2022
712;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;8544873;1970
713;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;9307148;1980
714;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;10302255;1990
715;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;11038109;2000
716;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;11033783;2010
717;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;10806641;2015
718;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;10512232;2020
719;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;1.2302385301689094;10384971;2022
728;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;8683631;1970
729;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;9785252;1980
730;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;10007346;1990
731;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;10300626;2000
732;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;10588401;2010
733;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;10365435;2015
734;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;10298192;2020
735;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;1.1859315532868682;10270865;2022
744;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;10315366;1970
745;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;10698679;1980
746;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;10375989;1990
747;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;10202055;2000
748;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;9986825;2010
749;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;9844246;2015
750;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;9750573;2020
751;94;HUN;Hungary;Budapest;Europe;93028;107.1431;1.0265;0.12;0.945247410513597;9967308;2022
784;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;7465301;1970
785;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;7547561;1980
786;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;7678729;1990
787;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;8010428;2000
788;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;8362829;2010
789;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;8642421;2015
790;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;8907777;2020
791;99;AUT;Austria;Vienna;Europe;83871;106.5877;1.002;0.11;1.1932240910312926;8939617;2022
856;108;BGR;Bulgaria;Sofia;Europe;110879;61.1654;0.9849;0.09;0.8131440821628927;8582950;1970
